pointId,trip_id,previous_point,next_point,latitude,longitude,horizontal_accuracy,bearing,bearing_accuracy,elapsed_time,elapsed_time_uncertainty,speed,speed_accuracy,likelihood_score,time delta (s),expected distance,delta Lat (m),exp del lat,delta Long (m),exp del long,expected lat,expected long,lat dif,lon dif,lat dif (m),lon dif (m),error (m),111084.744024676,82079.5722664617
204,3,203,0,42.5944462,-83.0882122,19.1580009460449,183.544479370117,183.544479370117,149144636506456,0,0.574643135070801,0,0,1.010506456,0.580680597885124,-1.6107287882,-0.0358996399,0.1231193581,-0.579569816860188,42.5944459,-83.0882193,-0.0000003,-0.0000071,-0.0358996,-0.579569817106581,0.580680598152147,,
205,3,204,0,42.5944283,-83.0882106,18.8850002288818,157.756164550781,157.756164550781,149146369000000,0,0.290024608373642,0,0,1.732493544,0.502465761608463,-1.9884169184,0.1902079290,0.1313273160,-0.465072881738429,42.5944300,-83.0882163,0.0000017,-0.0000057,0.1902079,-0.46507288125358,0.502465761275437,,
206,3,205,0,42.5943861,-83.0881953,17.3649997711182,161.681167602539,161.681167602539,149147552000000,0,0.263420850038528,0,0,1.183,0.311626865595579,-4.6877761974,0.0979457272,1.2558174558,-0.295834308174302,42.5943870,-83.0881989,0.0000009,-0.0000036,0.0979457,-0.295834307814051,0.311626865249222,,
207,3,206,0,42.5942519,-83.0881411,12.0609998703003,134.676071166992,134.676071166992,149153305000000,0,0.251579612493515,0,0,5.753,1.44733751067519,-14.9075726479,1.0291918264,4.4487128163,-1.01761979844059,42.5942612,-83.0881535,0.0000093,-0.0000124,1.0291918,-1.01761979900275,1.44733751112917,,
208,3,207,0,42.5942318,-83.0881185,20.9500007629395,143.198165893555,143.198165893555,149154485000000,0,0.052267357707024,0,0,1.18,0.061675482094288,-2.2328033549,0.0369466501,1.8549983339,-0.049384310650117,42.5942321,-83.0881191,0.0000003,-0.0000006,0.0369467,-0.049384310824461,0.061675482415129,,
209,3,208,0,42.594213,-83.0881003,20.7649993896484,179.785369873047,179.785369873047,149155628558743,0,0.009660482406616,0,0,1.143558743,0.011047329117684,-2.0883931876,0.0000413832,1.4938482152,-0.011047251606764,42.5942130,-83.0881004,0.0000000,-0.0000001,0.0000414,-0.011047251438563,0.011047328949539,,
210,3,209,0,42.594193,-83.0880831,20.7849998474121,170.994842529297,170.994842529297,149157649246763,0,0.001394398277625,0,0,2.02068802,0.002817643894706,-2.2216948812,0.0004410271,1.4117686420,-0.002782914335037,42.5941930,-83.0880831,0.0000000,0.0000000,0.0004410,-0.002782914579719,0.002817644131695,,
211,3,210,0,42.5941842,-83.0880725,19.9230003356934,179.994125366211,179.994125366211,149158929000000,0,0.000854795391206,0,0,1.279753237,0.001093927168868,-0.9775457470,0.0000001122,0.8700434669,-0.001093927163118,42.5941842,-83.0880725,0.0000000,0.0000000,0.0000001,-0.001093926652665,0.001093926658407,,
212,3,211,0,42.5941849,-83.0880715,19.1119995117187,319.26611328125,319.26611328125,149160342000000,0,0.523070394992828,0,0,1.413,0.739098468124866,0.0777593209,-0.4822962492,0.0820795721,0.560050777691829,42.5941806,-83.0880647,-0.0000043,0.0000068,-0.4822962,0.560050777357014,0.739098467988118,,
213,3,212,0,42.594177,-83.0880647,17.3610000610352,318.073608398437,318.073608398437,149161565000000,0,0.517687618732452,0,0,1.223,0.633131957709789,-0.8775694778,-0.4230431546,0.5581410909,0.471052614107501,42.5941732,-83.0880590,-0.0000038,0.0000057,-0.4230432,0.471052613694646,0.633131957444114,,
